City,MonitorID,HouseID,Lon,Lat,Hour,Temp,RH,BP,PM2.5_adj,PM10_adj,NO2_adj,SO2_adj,CO_adj,O3_adj,Time_Texas,Date
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 05:00:00,21.275,78.25,30.31,10.963925,23.9868675,29.5777125,,0.23684015,,2025-03-26 00:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 06:00:00,20.925,81.0,30.31,12.030775,25.5534475,29.2495875,,0.229015675,,2025-03-26 01:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 07:00:00,20.7,83.0,30.3,12.3722,25.89389,26.81,,0.2279543,,2025-03-26 02:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 08:00:00,20.55,83.75,30.2825,12.350225,25.731785,26.460575,,0.228191925,,2025-03-26 03:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 09:00:00,20.45,83.5,30.28,11.5899,24.337115,26.478475,,0.231291525,,2025-03-26 04:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 10:00:00,20.375,83.0,30.2825,12.31955,25.7366875,26.3704625,,0.2418416,,2025-03-26 05:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 11:00:00,20.4,85.0,30.305,13.07315,26.88613,29.6825,,0.2547504,,2025-03-26 06:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 12:00:00,20.625,84.25,30.33,13.850625,28.4606625,29.2800875,,0.269120075,,2025-03-26 07:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 13:00:00,21.1,84.5,30.36,13.92835,28.66057,26.982,,0.250445875,,2025-03-26 08:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 14:00:00,21.8,81.75,30.4,12.9182,27.263285,24.04805,,0.243983725,2.026005,2025-03-26 09:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 15:00:00,22.925,77.0,30.4225,12.71405,27.6865225,21.6720375,,0.22700965,5.93928,2025-03-26 10:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 16:00:00,24.3,68.75,30.4225,11.7962,27.272435,15.70095,,0.218822775,9.427305,2025-03-26 11:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 17:00:00,25.875,62.0,30.395,11.65875,28.1521375,17.2065125,,0.2055367,14.7759,2025-03-26 12:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 18:00:00,26.55,60.5,30.375,12.5068,30.033885,19.322675,,,15.34873,2025-03-26 13:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 19:00:00,27.2333333333333,57.0,30.3466666666667,11.3677333333333,28.48873,13.35565,,0.211960633333333,16.49504,2025-03-26 14:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 20:00:00,27.325,55.75,30.3175,11.874275,29.5997525,18.1134875,,,17.476745,2025-03-26 15:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 21:00:00,27.575,54.75,30.3,13.0267,31.9043025,19.6804125,,0.20100255,18.006745,2025-03-26 16:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 22:00:00,28.1,53.0,30.295,14.9647,35.80757,18.98795,,0.203386725,19.20406,2025-03-26 17:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-26 23:00:00,27.725,55.25,30.2975,29.777925,72.5135825,23.3503375,9.38908,0.934260575,12.235735,2025-03-26 18:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-27 00:00:00,27.2,56.5,30.29,33.4135,78.303065,27.9897,,1.4774653,,2025-03-26 19:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-27 01:00:00,26.8,57.0,30.2925,19.2266,42.95806,27.68285,,,4.68647999999999,2025-03-26 20:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-27 02:00:00,26.45,59.75,30.3075,12.488275,30.075065,27.847725,,,,2025-03-26 21:00:00,2025-03-26
Beaumont,8145002441001,H20,-94.145314,30.126498,2025-03-27 03:00:00,23.95,69.0,30.305,11.3686,26.385215,30.054075,,,,2025-03-26 22:00:00,2025-03-26
